----------------page: 1-------------------
title:国科大博士生导师杜茁研究团队在揭示染色质活性的发育动态变化基本模式研究方面取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503823&catid=376&Itemid=196 date:2021-05-07
title:国科大导师魏辅文院士荣获国际分子生态学奖 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503812&catid=376&Itemid=196 date:2021-05-06
title:国科大博士生导师邓菲团队合作在SARS-CoV-2与血小板和巨核细胞相互作用机制研究中取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503807&catid=376&Itemid=196 date:2021-05-06
title:国科大博士生导师盛煜研究团队在黄河源区冻土退化及其关键水文要素响应方面取得阶段性进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503795&catid=376&Itemid=196 date:2021-05-03
title:国科大博士生导师余志晟课题组在利用农业废弃物生产清洁能源氢气研究方面取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503697&catid=376&Itemid=196 date:2021-04-28
title:国科大博士生导师张劲松研究组发现促进大豆油脂积累的转录调控模块 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503654&catid=376&Itemid=196 date:2021-04-27
title:国科大博士生导师姚槐应团队在固氮微生物群落组装过程和活性的研究中取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503620&catid=376&Itemid=196 date:2021-04-26
title:国科大博士生导师崔胜辉团队在探索可持续食物消费的肥胖和环境效应领域取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503619&catid=376&Itemid=196 date:2021-04-26
title:国科大研究生导师门冬和张先恩联合团队在大肠杆菌内重构羧化体研究方面取得进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503608&catid=376&Itemid=196 date:2021-04-26
title:国科大研究生导师张龙、董红星等国内研究团队在基于量子点自组装微腔固化实现高温稳定微纳激光器方案上取得新进展 link:http://news.ucas.edu.cn/index.php?option=com_content&view=article&id=503604&catid=376&Itemid=196 date:2021-04-26
